name,desc,vibes
Boho Dress,"Flowy, earthy tones perfect for outdoor festivals and relaxed vibes.","['boho', 'casual', 'earthy']"
Street Hoodie,Bold graphic hoodie with urban style for city life and comfort.,"['urban', 'chic', 'casual']"
Cozy Sweater,Soft knitted sweater that keeps you warm and stylish during winter.,"['cozy', 'warm', 'minimal']"
Denim Jacket,"Classic blue denim jacket, versatile for street and casual wear.","['casual', 'urban', 'vintage']"
Athletic Set,Breathable sportswear set for energetic workouts and active lifestyle.,"['sporty', 'energetic', 'modern']"
Beach Shorts,"Light, colorful shorts designed for tropical vacations and sunny vibes.","['tropical', 'vacation', 'bright']"
Formal Blazer,Elegant blazer that brings a confident and professional look.,"['formal', 'chic', 'classic']"
Summer Dress,Light floral dress for sunny days and picnic outings.,"['summer', 'floral', 'feminine']"
Leather Jacket,"Edgy black leather jacket for a bold, confident, urban look.","['edgy', 'urban', 'cool']"
Vintage Tee,Retro-inspired cotton t-shirt with classic prints and relaxed fit.,"['vintage', 'casual', 'nostalgic']"
Party Sequin Top,Shiny sequin top that adds glamour and sparkle for night parties.,"['party', 'glam', 'energetic']"
Travel Backpack,Durable and stylish backpack made for explorers and city travelers.,"['travel', 'adventure', 'practical']"
Minimalist Sneakers,Clean white sneakers that match any outfit for effortless style.,"['minimal', 'urban', 'modern']"
Raincoat,Waterproof and lightweight coat for stylish rainy-day outfits.,"['practical', 'cozy', 'modern']"
Silk Scarf,Elegant silk scarf adding grace and luxury to any attire.,"['luxury', 'classic', 'chic']"
